id,texts,labels,PREPROCESSED_texts
2454,ürün elime geç ulaştı ve ayrıca kaliteli bi mause değil sol tuş teklemeye başladı..,negative,ürün elime geç ulaştı ve ayrıca kaliteli bir mouse değil sol tuş teklemeye başladı . .
2455,daha ilk ay içerisinde sol tuş teklemeye başladı takılıp kalıyodu ilerliyen günlerde hassasiyeti azalmaya başladı dpı tuşu tepki vermemeye başladı. sırf görünüş olsun diye alcaksanız alın yoksa uzun süreli kunlanım için ideal değil açıkça söyleyim.,negative,daha ilk ay içerisinde sol tuş teklemeye başladı takılıp kalıyordu ilerleyen günlerde hassasiyeti azalmaya başladı dpı tuşu tepki vermemeye başladı . sırf görünüş olsun diye alacaksanız alın yoksa uzun süreli kullanım için ideal değil açıkça söyleyeyim .
2456,bir süre sonra tuşlar algılamamaya başlıyor paranızı çöpe atmayın,negative,bir süre sonra tuşlar algılamamaya başlıyor paranızı çöpe atmayın
2457,eli terletiyo ve çok ağır bir mause ama padi güzel,negative,eli terletiyor ve çok ağır bir mouse ama hadi güzel
2458,büyük ve ağır ele tam oturmuyor ve dokusu bildiğiniz plastik 5 dkka sonra kaymaya basliyor cok terletiyo ama icinden cikan mouse pad güzel,negative,büyük ve ağır ele tam oturmuyor ve kokusu bildiğiniz plastik 5 dakka sonra kaymaya başlıyor çok terletiyor ama içinden çıkan mouse pad güzel
2459,orta tuş ve sol tuşa basarken kuvvetli basmanız gerekiyor.,negative,orta tuş ve sol tuşa basarken kuvvetli basmanız gerekiyor .
2460,arkadaşlar ürün çok kaba ve hareket zorluğu yaşanıyor. cs için tavsiye etmem. boşuna para vermeyin..,negative,arkadaşlar ürün çok kaba ve hareket zorluğu yaşanıyor . cs için tavsiye etmem . boşuna para vermeyin . .
2461,parasına göre idare eder ama.oyun dışında kullananların almamasını öneririm.,negative,parasına göre idare eder ama . oyun dışında kullananların almamasını öneririm .
2462,"mouse cafcaflı, ışıklı, şık duruyor. daha ilk günden sol ve sağ tuş basmamaya başladı. pad için bu para verilir derseniz alın. benim gibi çok fazla klasör düzenleme işleri yapıyorsanız kesinlikle güvenilir değil.",negative,"mouse cafcaflı , ışıklı , şık duruyor . daha ilk günden sol ve sağ tuş basmamaya başladı . pad için bu para verilir derseniz alın . benim gibi çok fazla klasör düzenleme işleri yapıyorsanız kesinlikle güvenilir değil ."
2463,mouse büyük ve ağır oyunlarda pek işe yaramaz ,negative,mouse büyük ve ağır oyunlarda pek işe yaramaz
2464,"ucuz diye aldım, ama sadece mouse padi iyi. sol tuş bazen basıyor bazen basmıyor, cs go oynayanları delirtebilir. makro yok. 3 vuruş tuşu ise geç basıyor. tavsiye etmiyorum. hb ye teşekkürler. ",negative,"ucuz diye aldım , ama sadece mouse hadi iyi . sol tuş bazen basıyor bazen basmıyor , cs go oynayanları delirtebilir . makro yok . 3 vuruş tuşu işe geç basıyor . tavsiye etmiyorum . hb ye teşekkürler ."
2465,arkadaşlar mousu ped yuzunden aldım oede diyeceğim yok ama mouse geçekten para verilip alınacak turde değil 3 gunde sol kilk tıklamaz oldu yorumlardada goruceksiniz bence paranızı boşa yatırmayın ,negative,arkadaşlar mouse ped yüzünden aldım nede diyeceğim yok ama mouse geçekten para verilip alınacak türde değil 3 günde sol klik tıklamaz oldu yorumlarda da göreceksiniz bence paranızı boşa yatırmayın
2466,arkadaşlar oyun için aldım ki makro var diye bazı yorumlara aldandım. makro özelliği maalesef yooook! tuşa görev atama var ama oyuncunun istediği bu değil. hepsiburadanın hizmet kalitesi ise süper.,negative,arkadaşlar oyun için aldım ki makro var diye bazı yorumlara aldandım . makro özelliği maalesef yok ! tuşa görev atama var ama oyuncunun istediği bu değil . hepsiburadanın hizmet kalitesi ise süper .
2467,pad iyi fare üstünde rahat bi şekil de kayabiliyor. fare ise bnm elim için büyük oldu.ağırda olunca elimi çabuk yordu.elim biraz küçük kalınca çift tıklama tusuna ulasmak çok zor oluyor.1600 dpı da  1000 dpı lık microsoft faremin hasaslığına ancak erişiyor. tabii bu fiyata bu kdr ,negative,pad iyi fare üstünde rahat bir şekil de kayabiliyor . fare ise benim elim için büyük oldu . ağırda olunca elimi çabuk yordu . elim biraz küçük kalınca çift tıklama tuşunu ulaşmak çok zor oluyor . 1600 dpı da 1000 dpı lık microsoft faremin Hasan'lığına ancak erişiyor . tabii bu fiyata bu kadar
2468,maus oyun için aldım çok iyi hakkını veriyor ,negative,mouse oyun için aldım çok iyi hakkını veriyor
2469,mouse pad i için almıştım mouse ıda yedek kullanırım diye planlıyordum. ancak hangi hassasiyet ayarını ayarladıysam kullanamadım. normalde g300 kullanıyorum belki büyük geldi o yüzden olabilir. ama fare imlecinin hareketindeki o hassaslığı alamadım. ,negative,mouse pad ı için almıştım mouse ıda yedek kullanırım diye planlıyordum . ancak hangi hassasiyet ayarını ayarladıysam kullanamadım . normalde g300 kullanıyorum belki büyük geldi o yüzden olabilir . ama fare imlecinin hareketindeki o hassaslığı alamadım .
2470,mouse pad ise yüzeyi pütürlü elimi rahatsız ediyor. bileğimi ise terletiyor. genel anlamda memnun kalmadım. bir daha böyle bir parça almaya karar verdiğimde denemeden almıyacağım.,negative,mouse pad ise yüzeyi pütürlü elimi rahatsız ediyor . bileğimi ise terletiyor . genel anlamda memnun kalmadım . bir daha böyle bir parça almaya karar verdiğimde denemeden almayacağım .
2471,bu üründen 2 tane aldım ama ikisindede sorun çıktı ikiside şarj olmuyor şarj kablolarında sıkıntı yok tabletlerin ikiside dolmuyor hemen iade ettim,negative,bu üründen 2 tane aldım ama ikisinde de sorun çıktı ikisi de şarj olmuyor şarj kablolarında sıkıntı yok tabletlerin ikisi de dolmuyor hemen iade ettim
2472,şarjı 48 saatte %56 anca oldu şarzdan çıkarıp kullanamadım daha,negative,şarjı 48 saatte %56 anca oldu şarjdan çıkarıp kullanamadım daha
2473,"eğer bir beklentiniz yoksa çocuğunuz veya kendiniz vakit geçirmek için alıyorsanız olabilir ama beklentiye girmeyin. kamerası kötü, şarjı hızlı bitiyor ayrıca çalışırken disk sesi geliyor arada.",negative,"eğer bir beklentiniz yoksa çocuğunuz veya kendiniz vakit geçirmek için alıyorsanız olabilir ama beklentiye girmeyin . kamerası kötü , şarjı hızlı bitiyor ayrıca çalışırken disk sesi geliyor arada ."
2474,i̇dare eder,negative,idare eder
2475,kullanışlı değil,negative,kullanışlı değil
2476,"yetersiz ,yigenime aldım diyorki dayı bu neden kötü gösteriyor,bu neden hemen kapanıyor.anlıyacagınız bu yastaki çocuk bile böyle söylüyor düşük kalitede oldugnu .şarjı 2-3 saate bitiyor arka kamera camı hemen çiziliyor.tavsiye etmiyorum.",negative,"yetersiz , yiğenime aldım diyor ki dayı bu neden kötü gösteriyor , bu neden hemen kapanıyor . anlayacağınız bu yaştaki çocuk bile böyle söylüyor düşük kalitede olduğunu . şarjı 2-3 saate bitiyor arka kamera camı hemen çiziliyor . tavsiye etmiyorum ."
2477,hiç tavsiye etmem.,negative,hiç tavsiye etmem .
2478,çok acil modem ihtiyacından dolayı satın aldım bu paraya alınır ama performans beklemeyin wifi kararlığı çok stabil değil.,negative,çok acil modem ihtiyacından dolayı satın aldım bu paraya alınır ama performans beklemeyin wifi kararlığı çok stabil değil .
2479,umduğum gibi uzun menzili yok. ev için ideal..,negative,umduğum gibi uzun menzili yok . ev için ideal . .
2480,çekim gücü beklediğimden kötü,negative,çekim gücü beklediğimden kötü
2481,ürün fiyatı düşük ancak aralıklarla internet bağlantısı kopuyor modemi açıp kapamak gerekiyor 5 6 kullanıcı bağlanınca cok yüklenmememize rağmen internet hızında anlayamadığım bir yavaşlama var,negative,ürün fiyatı düşük ancak aralıklarla internet bağlantısı kopuyor modemi açıp kapamak gerekiyor 5 6 kullanıcı bağlanınca çok yüklenmememize rağmen internet hızında anlayamadığım bir yavaşlama var
2482,arkadaslar oncelikle yogun kullanım var ise bundanda kastım wifiyi 10 veya daha fazla kullanıcı kullanıyorsa bağlantıda kopmalar meydana geliyor pc veya telefonun wifisini kapatıp açtığımızda düzeliyor ama dosya paylaşımı yani ağ programları çalışırken cok sıkıntılar cıkıyor fazla verip başka marka almanızı tavsiye ederim.,negative,arkadaşlar öncelikle yoğun kullanım var ise bundan da kastım wifiyi 10 veya daha fazla kullanıcı kullanıyorsa bağlantıda kopmalar meydana geliyor pc veya telefonun wifisini kapatıp açtığımızda düzeliyor ama dosya paylaşımı yani ağ programları çalışırken çok sıkıntılar çıkıyor fazla verip başka marka almanızı tavsiye ederim .
2483,ürünü aldım mouse pad güzel fakat fare için ne bir driver ne bisiy var zaten üretici firma kasa firması pazardan alıcagınız fareden farksız cok birsey beklemeyin.oyuncu faresi denmesinin sebebi üstünde 2 tane ekstra tus olması dpi ayarlama bile yapılamıyor.yılbaşı hediyesi olarak arkadasıma aldım kutusu garanti belgesi attım ne yazıkki farenin optik bozuk galiba tuşlar basıyor fakat hareket etmiyor degişim vsde olmicak.fareyi denemeden     atmayın belgelerini.,negative,ürünü aldım mouse pad güzel fakat fare için ne bir driver ne bişi var zaten üretici firma kişi firması pazardan alacağınız fareden farksız çok bir şey beklemeyin . oyuncu faresi denmesinin sebebi üstünde 2 tane ekstra tuş olması dip ayarlama bile yapılamıyor . yılbaşı hediyesi olarak arkadaşıma aldım kutusu garanti belgesi attım ne yazık ki farenin optik bozuk galiba tuşlar basıyor fakat hareket etmiyor değişim vsde olmicak . fareyi denemeden atmayın belgelerini .
2484,"acikcasi bu mouse&#8217;u aldigima biraz pisman oldum diyebilirim (ki 2 tane almistim). bazi kullanicilarin bahsettigi gibi urun biraz ucuz yapim, boyutu da biraz ufak. ancak beni asil sinir eden iki mesele var. birincisi mouse 30-45 sn kullanmadiginiz anda donuyor, bir tusuna basip tekrar aktif etmeniz lazim. ikinci sikinti da ara sira lag yapip duruyor.",negative,"açıkçası bu mouse & #8217 ; u aldığıma biraz pişman oldum diyebilirim ( ki 2 tane almıştım ) . bazı kullanıcıların bahsettiği gibi ürün biraz ucuz yapım , boyutu da biraz ufak . ancak beni asıl sinir eden iki mesele var . birincisi mouse 30-45 sn kullanmadığınız anda dönüyor , bir tuşuna basıp tekrar aktif etmeniz lazım . ikinci sıkıntı da ara sıra lag yapıp duruyor ."
2485,resimdeki kadar büyük değil. onun dışında a4 ve hepsiburada kalitesiyle hızlı teslim.,negative,resimdeki kadar büyük değil . onun dışında a4 ve hepsiburada kalitesiyle hızlı teslim .
2486,a4 tech iyi marka aslında ama bu modelde açma kapama düğmesi yok. üstelik kablolu maouslarda mause hareket edinci kırmızı ışık yanıyordu burda yanmıyor yani çalışıp çalışmadığı belli değil. açma kapama düğmesinin olmaması bilmiyorum kullanımı ne kadar etkileyecek. i̇lk kurulum biraz uzun sürebilir. ben ilk taktığımda bir an tanımadı zannettim ama biraz bekleyince tanıdı. sabırlı olun. fiyatına göre uygun. keşke açma kapama düğmeside olsaydı.,negative,a4 tech iyi marka aslında ama bu modelde açma kapama düğmesi yok . üstelik kablolu makuslarda mouse hareket edinci kırmızı ışık yanıyordu burada yanmıyor yani çalışıp çalışmadığı belli değil . açma kapama düğmesinin olmaması bilmiyorum kullanımı ne kadar etkileyecek . ilk kurulum biraz uzun sürebilir . ben ilk taktığımda bir an tanımadı zannettim ama biraz bekleyince tanıdı . sabırlı olun . fiyatına göre uygun . keşke açma kapama düğmesi de olsaydı .
2487,"mac kullanıyorum. bilgisayarın başından kalkıp daha sonra geldiğimde fareyi tanıtmak için uğraşıyorum. pilini çıkarım tekrar takıyorum, usb'yi çıkarıp takıyorum. klavye gibi görüyor tekrar takıyorum.. vs. sıkıntılı. kapatıp açma düğmesi olsaydı belki bu denli uğraşılmazdı. windowsu bilmiyorum ama mac de kullanımı bir hayli sıkıntılı her seferinde böyle uğraşamayacağım.",negative,"mac kullanıyorum . bilgisayarın başından kalkıp daha sonra geldiğimde fareyi tanıtmak için uğraşıyorum . pilini çıkarım tekrar takıyorum , usb'yi çıkarıp takıyorum . klavye gibi görüyor tekrar takıyorum . . vs sıkıntılı . kapatıp açma düğmesi olsaydı belki bu denli uğraşılmazdı . windowsu bilmiyorum ama mac de kullanımı bir hayli sıkıntılı her seferinde böyle uğraşamayacağım ."
2488,hiç bir yerde adam akıllı çalışmıyor.,negative,hiç bir yerde adam akıllı çalışmıyor .
2489,okadar çok iyi yorum yapılmış ki çok iyi bir mouse sanıp aldım ama açma kapama düğmesi bile yok arkasında. kullanmadığın zaman (film izlerken mesela) pili bitmesin diye ya pili çıkartacaksın ya usb yi. ikisinde de saçma bir iş yapmış olacaksın. biraz daha fazla ödeyip açma kapama düğmesi olanlar tercih edilebilir.,negative,o kadar çok iyi yorum yapılmış ki çok iyi bir mouse sanıp aldım ama açma kapama düğmesi bile yok arkasında . kullanmadığın zaman ( film izlerken mesela ) pili bitmesin diye ya pili çıkardıracaksın ya usbyi yi . ikisinde de saçma bir iş yapmış olacaksın . biraz daha fazla ödeyip açma kapama düğmesi olanlar tercih edilebilir .
2490,tanıtımlarında yer alan her yüzeyde çalışırlığı fiyasko. cilalı parlak yüzeye sahip masada çalışmıyor. mouse pad kullanıyoruz. malzeme kalitesinin de çok iyi olduğunu söyleyemem ve tuş tıklama sesi çok yüksek. i̇şlevselliğinde bir sıkıntı görmedim gayet düzgün çalışıyor. lakin bir miktar daha eklenerek daha kaliteli fare tercih edilmeli.,negative,tanıtımlarında yer alan her yüzeyde çalışırlığı fiyasko . cilalı parlak yüzeye sahip masaya çalışmıyor . mouse pad kullanıyoruz . malzeme kalitesinin de çok iyi olduğunu söyleyemem ve tuş tıklama sesi çok yüksek . işlevselliğinde bir sıkıntı görmedim gayet düzgün çalışıyor . lakin bir miktar daha eklenerek daha kaliteli fare tercih edilmeli .
2491,acıklamarında yazdığı gibi her şeyin üzetinde çalışmıyor.örneğın beyaz sehba da koltugun uzerinde falanda çalışmıyor aldım pisman oldum parası kadar etmez iadesiyle ugrasmayada degmez tavsiye etmem.,negative,açıklamasında yazdığı gibi her şeyin üzerinde çalışmıyor . örneğin beyaz şehba da koltuğun üzerinde falanda çalışmıyor aldım pişman oldum parası kadar etmez iadesiyle uğraşmamada değmez tavsiye etmem .
2492,alkalin pil kullanmama rağmen yaklaşık 1 aylık pil ömrü var. ,negative,alkalin pil kullanmama rağmen yaklaşık 1 aylık pil ömrü var .
2493,cam yüzeyde çalışmıyor.,negative,cam yüzeyde çalışmıyor .
2494,her yüzeyde çalışmıyor. uzun süre kullanmayınca donuyor.,negative,her yüzeyde çalışmıyor . uzun süre kullanmayınca dönüyor .
2495,çok hafif sanki oyuncak gbi malzeme kalitesi yok ama fiyat uygun,negative,çok hafif sanki oyuncak gibi malzeme kalitesi yok ama fiyat uygun
2496,televizyona taktığım pc il aramda 1-2 m mesafe var. bağlantı sürekli gidip geliyor. düzgün kullanamıyorum malesef. ,negative,televizyona taktığım pc il aramda 1-2 m mesafe var . bağlantı sürekli gidip geliyor . düzgün kullanamıyorum maalesef .
2497,"ürün her yüzeyde tam performans ile çalışmıyor , bağlantı kalitesi ise beklenen gibi değil . biraz daha fiyat artışı ile güzel bir mouse alınabilir .",negative,"ürün her yüzeyde tam performans ile çalışmıyor , bağlantı kalitesi ise beklenen gibi değil . biraz daha fiyat artışı ile güzel bir mouse alınabilir ."
2498,fare fiyatına göre fena değil. fakat bazen pilini çıkarıp takmak zorunda kalıyorum kendi kendine donuyor fare. duracell pil olmasına rağmen.,negative,fare fiyatına göre fena değil . fakat bazen pilini çıkarıp takmak zorunda kalıyorum kendi kendine dönüyor fare . duracell pil olmasına rağmen .
2499,sizi yoklukta idare edebilecek bir mouse. kullanmadığınızda 5-10 dk içinde kapatıo kendini sanırım. bir tuşuna basmanız yeterli. her türlü yüzeyde kaliteli okuduğu ise koca bi̇r yalan. yatak çarşafım üzerinde kaydırdığımda doğru düzgün okumuyor. önceki farem logitech di ve çok daha iyiydi. alırken birkez daha düşünün 5-6 ay gidiyor pili günlük kullanımda,negative,size yoklukta idare edebilecek bir mouse . kullanmadığınızda 5-10 dk içinde kapatıp kendini sanırım . bir tuşuna basmanız yeterli . her türlü yüzeyde kaliteli okuduğu ise koca bir yalan . yatak çarşafım üzerinde kaydırdığımda doğru düzgün okumuyor . önceki farem logitech di ve çok daha iyiydi . alırken bir kez daha düşünün 5-6 ay gidiyor pili günlük kullanımda
2500,maus üzerinde açma kapama güç tuşu yok arkadaşlar .pil bitiyor ışıksız bir yapısı var pil bitince anlayamıyorsunuz .1 ay ancak gitti pil.bence daha iyi ürünlere yönelinmeli,negative,mars üzerinde açma kapama güç tuşu yok arkadaşlar . pil bitiyor ışıksız bir yapısı var pil bitince anlayamıyorsunuz . 1 ay ancak gitti pil . bence daha iyi ürünlere yönelinmeli
2501,ürün gerçekten güzel çalışıyor. her türlü yüzeyde çalışması çok büyük avantaj. ancak sıkıntı şu ki alete pil dayandıramıyorum. 1 hafta içinde pil bitiyor. ürünü alırsanız yanına mutlaka 2 adet şarjlı pil ve şarj aleti de alın.,negative,ürün gerçekten güzel çalışıyor . her türlü yüzeyde çalışması çok büyük avantaj . ancak sıkıntı şu ki alete pil dayandıramıyorum . 1 hafta içinde pil bitiyor . ürünü alırsanız yanına mutlaka 2 adet şarjlı pil ve şarj aleti de alın .
2502,"ürün kullanım olarak güzel, fakat biraz küçük sürekli fareyi kullanacakların biraz eli yorulabilir. ben şahsen biraz daha büyük olmasını bekliyordum.",negative,"ürün kullanım olarak güzel , fakat biraz küçük sürekli fareyi kullanacakların biraz eli yorulabilir . ben şahsen biraz daha büyük olmasını bekliyordum ."
2503,yazma hızı çok yavaş tavsiye etmem,negative,yazma hızı çok yavaş tavsiye etmem
2504,"ufak ve şık bir tasarımı var, veri depolama açısından da fena değil, ancak veri aktarım hızı çokkkkkk yavaş, böyle olacağını bilseydim almazdım.",negative,"ufak ve şık bir tasarımı var , veri depolama açısından da fena değil , ancak veri aktarım hızı çokkkkkk yavaş , böyle olacağını bilseydim almazdım ."
2505,"yükleme hızı fena değil, ancak bilgisayara takılan kısım plastik olduğu için çabuk kırılıyor",negative,"yükleme hızı fena değil , ancak bilgisayara takılan kısım plastik olduğu için çabuk kırılıyor"
2506,fiyatı ucuz ama ağız kısmı plastik ve 3-4 ay sonra kırılıp kullanamıyorsunuz.  fiyat performans acisindan alınabilir ancak çok uzun ömürlü değil. bilesiniz.,negative,fiyatı ucuz ama ağız kısmı plastik ve 3-4 ay sonra kırılıp kullanamıyorsunuz . fiyat performans açısından alınabilir ancak çok uzun ömürlü değil . bilesiniz .
2507,fiyat olarak iyi. ancak ebat olarak çok küçük. bazen kullanmakta zorlanıyorum. küçük şeylerden hoşlananlar için ideal. yine de işimi görüyor.,negative,fiyat olarak iyi . ancak ebat olarak çok küçük . bazen kullanmakta zorlanıyorum . küçük şeylerden hoşlananlar için ideal . yine de işimi görüyor .
2508,"ürün ufak olduğu için gerçekten çok hoş duruyor. fakat aktarım hızı 3 ila 5 mb arasında. eğer yüksek boyutlu dosyalarla çalışıyorsanız, tavsiye etmem.",negative,"ürün ufak olduğu için gerçekten çok hoş duruyor . fakat aktarım hızı 3 ila 5 mb arasında . eğer yüksek boyutlu dosyalarla çalışıyorsanız , tavsiye etmem ."
2509,8 gb modeli aktarım olarak çok yavaş geldi bana. almayı düşündüm fakat 16gb modelinde de aynı aktarım hızı olması ve yavaşlığı tedirgin etti...,negative,8 gb modeli aktarım olarak çok yavaş geldi bana . almayı düşündüm fakat 16gb modelinde de aynı aktarım hızı olması ve yavaşlığı tedirgin etti ...
2510,bellek gayet şık ve hafif (hafif olması aslında kaybetmeye müsait hale getiriyor ) ben hız saplantılıyım diyorsanız hiç bulaşmayın. önceki belleklerimde 700 mb lık bir film dosyasını 1 dakikada atarken bu belleğe 4-5 dakikada atıyorum. ama kapasite ile fiyat birlikte değerlendirildiğinde mini harici disk olarak kullanmak için bile alınır.,negative,bellek gayet şık ve hafif ( hafif olması aslında kaybetmeye müsait hale getiriyor ) ben hız saplantılıyım diyorsanız hiç bulaşmayın . önceki belleklerde 700 mb lık bir film dosyasını 1 dakikada atarken bu belleğe 4-5 dakikada atıyorum . ama kapasite ile fiyat birlikte değerlendirildiğinde mini harici disk olarak kullanmak için bile alınır .
2511,ürün ufak tefek şık yalnız çok yavaş bu kadar yavaş olucağını tahmin etmemiştim.keşke birazdaha paraya kıyıp daha hızlı bir bellek alsaydım,negative,ürün ufak tefek sık yalnız çok yavaş bu kadar yavaş olacağını tahmin etmemiştim . keşke biraz daha paraya kıyıp daha hızlı bir bellek alsaydım
2512,2gblığını almıştım.yazma hızı 2-3mb/s hayli yavaş olduğu dikkatimi çekmişti ama 2gbta hız çok önemli değil.16gbta büyük boyutlarla çalışmak çekilmez olur.bu yüzden 16gb tercihimi başka markadan yana kullandım.biraz daha ekleyip 4-5 kat hızlısını almak mümkün.benden söylemesi.,negative,gbliğini almıştım . yazma hızı 2-3mb / s hayli yavaş olduğu dikkatimi çekmişti ama 2gbta hız çok önemli değil . 16gbta büyük boyutlarla çalışmak çekilmez olur . bu yüzden 16gb tercihimi başka markadan yana kullandım . biraz daha ekleyip 4-5 kat hızlısını almak mümkün . benden söylemesi .
2513,"arkadaşlar 16gb alanlar benim gibi yüksek kapasiteli film, resim, program vs. taşıma sıkıntısından kurtulmak için alıyordur. yoksa 8 gb 4 gb lar çok cüzi fiyatlarla satılıyorken bnu almaz. ben aldım.  8yıla yakındır sandisk kullanıcısıyım ama bunun kadar yavaş bir modeline hiç rastlamadım. 1gblık bir filmi atarken bile 3-4 dakika bekliyorsunuz. daha yüksek miktarklarda da sinir bozucu oluyor. bence fiyatına bakarak kıymet biçmeyin.",negative,"arkadaşlar 16gb alanlar benim gibi yüksek kapasiteli film , resim , program vs. taşıma sıkıntısından kurtulmak için alıyordur . yoksa 8 gb 4 gb lar çok cüzi fiyatlarla satılıyorken bunu almaz . ben aldım . yıla yakındır sandisk kullanıcısıyım ama bunun kadar yavaş bir modeline hiç rastlamadım . gblik bir filmi atarken bile 3-4 dakika bekliyorsunuz . daha yüksek miktarlarda da sinir bozucu oluyor . bence fiyatına bakarak kıymet biçmeyin ."
2514,şimdiye kadar kullanmış olduğum usb içlerinde en yavaş ve en hantal usb olarak gördüm açıkçası aldığıma pişman oldum başka bir markayla değiştirseler hemen veririm doğrusu sandisk ismine yakıştıramadım...,negative,şimdiye kadar kullanmış olduğum usb içlerinde en yavaş ve en hantal usb olarak gördüm açıkçası aldığıma pişman oldum başka bir markayla değiştirseler hemen veririm doğrusu sandisk ismine yakıştıramadım ...
2515,lens kullanmıyorum ama gözlük kullandığım için olabilir memnun kalamadım netliğinden,negative,lens kullanmıyorum ama gözlük kullandığım için olabilir memnun kalamadım netliğinden
2516,telefonun pilini hemen tüketiyor ve çok ısınmasına yol açıyor. uygulamalar da yetersiz.,negative,telefonun pilini hemen tüketiyor ve çok ısınmasına yol açıyor . uygulamalar da yetersiz .
2517,görüntü istediğim kalitede değil. sanal dünya deneyimi yeterli değil. telefon ile uyumlu çalıştığı için aldım. ancak telefon (s7 edge) aşırı ısınıyor. patlama riski olabilir. gözlerime ve yüzüme zarar verebilir. eşimde baş dönmesi ve mide bulanmasına neden oldu. ancak bende baş dönmesine sebep olmadı. bu fiyata alıp test etmek isterseniz yeterli olacaktır. kutuda gelen cihaz orijinal ancak tek sorun usb type c şarj soketi var. telefonumun şarj kablo soketi micro usb b. telefonu gözlüğe taktığınızda şarj edemiyorsunuz.,negative,görüntü istediğim kalitede değil . sanal dünya deneyimi yeterli değil . telefon ile uyumlu çalıştığı için aldım . ancak telefon ( s7 edge ) aşırı ısınıyor . patlama riski olabilir . gözlerime ve yüzüme zarar verebilir . eşimde baş dönmesi ve mide bulanılmasına neden oldu . ancak bende baş dönmesine sebep olmadı . bu fiyata alıp test etmek isterseniz yeterli olacaktır . kutuda gelen cihaz orijinal ancak tek sorun usb type c şarj soketi var . telefonumun şarj kablo soketi micro usb b . telefonu gözlüğe taktığınızda şarj edemiyorsunuz .
2518,takarken çok dar. takıp çıkarırken büküldüğü için tuş kısımlarındaki ince yerler bozuluyor. kılıfa çizik gelince hemen belli oluyor silinmesi zor,negative,takarken çok dar . takıp çıkarırken büküldüğü için tuş kısımlarındaki ince yerler bozuluyor . kılıfa çizik gelince hemen belli oluyor silinmesi zor
2519,"önceki yorumlarda belirtildiği üzere malzeme, size verdiği his ve sağlamliği üst düzeyde. telefona üzerinde çok şık duruyor. ancak malesef malzemesi o kadar kayganki elde tutmanız imkansiz. hayatımda düşürmediğim kadar telefon düşürmeme neden oldu 1 hafta içerisinde. malesef malzemenin yapısı nedeniyle elde durmuyor.",negative,"önceki yorumlarda belirtildiği üzere malzeme , size verdiği his ve sağlamlığı üst düzeyde . telefona üzerinde çok şık duruyor . ancak maalesef malzemesi o kadar kaygan ki elde tutmanız imkansız . hayatımda düşürmediğim kadar telefon düşürmeme neden oldu 1 hafta içerisinde . maalesef malzemenin yapısı nedeniyle elde duruyor ."
2520,alırken 2 kez düşünmekte fayda var.,negative,alırken 2 kez düşünmekte fayda var .
2521,"ürün siparişten kısa süre sonra elime ulaştı , hepisiburada 'yı bu konuda tebrik ederim herzaman çok hızlılar.",negative,"ürün siparişten kısa süre sonra elime ulaştı , Hepsiburada ' yi bu konuda tebrik ederim herzaman çok hızlılar ."
2522,"spigen markasının daha öncede kılıflarını kullanıyordum buna güvenerek aldığım iphone 7 kılıfı ise beni hayal kırıklığına urattı. evet kılıf çok ince çok kaliteli ve sağlam ancak bence bu iyi taraflarının yanında tekbir kötü taraf ürünü kaldırıp kutusuna koymama sebep oldu. çünkü kılıfın arkası çok kaygan bir malzeme ve ele tutunuşu çok kötü bu kılıfla telefonun elinizden düşmemesi için örümcek adam olmanız gerekir diye düşünüyorum, şahsen ben örümcek adam olmadığımdan kullanamadım.şaka bir yana kılıf çok kaliteli olmasına rağmen elde tutmak çok zor .",negative,"Spice'n markasının daha öncede kılıflarını kullanıyordum buna güvenerek aldığım ıphone 7 kılıfı ise beni hayal kırıklığına ürattı . evet kılıf çok ince çok kaliteli ve sağlam ancak bence bu iyi taraflarının yanında tekbir kötü taraf ürünü kaldırıp kutusuna koymama sebep oldu . çünkü kılıfın arkası çok kaygan bir malzeme ve ele tutunuşu çok kötü bu kılıfla telefonun elinizden düşmemesi için örümcek adam olmanız gerekir diye düşünüyorum , şahsen ben örümcek adam olmadığımdan kullanamadım . şaka bir yana kılıf çok kaliteli olmasına rağmen elde tutmak çok zor ."
2523,çok tiz ve dışarıya çok ses veriyor iyi değil,negative,çok tiz ve dışarıya çok ses veriyor iyi değil
2524,dışariya cok ses veriyor ama fena degil,negative,dışarıda çok ses veriyor ama fena değil
2525,ürün şarji konum kapal işik orta sevi̇yede ve saat her zamana açik ayari kapali i̇ken 1 gün dayanmiyor. ,negative,ürün şarj konum kapalı ışık orta seviyede ve saat her zamana açık ayarı kapalı iken 1 gün dayanmıyor .
2526,ürünü cok isteyerek aldim ama kabus oldu sarj olmuyor ürün acilmiyor,negative,ürünü çok isteyerek aldım ama kabus oldu şarj olmuyor ürün açılıyor
2527,bir saatlik yolculuk suresince note5 cihazimi yalnizca %20 sarj edebildi. beklentilerimin cok altinda cikti.,negative,bir saatlik yolculuk süresince noter cihazımı yalnızca %20 şarj edebildi . beklentilerimin çok altında çıktı .
2528,herşeye takiliyor çeket çikarsan takiliyor mont çikarsan takiliyor,negative,herşeye takılıyor ceket çıkarsam takılıyor mont çıkarsam takılıyor
