id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
4231,ütünün teslimatında bi sıkıntı yok erken ulaştı elime. i̇lk kullanımda su kaçırmaya başladı üzerinde test edilmiştir yazmasına rağmen kesinlikle tavsiye etmiyorum. fiyatından dolayı da geri iadeyi ve uğraşmayı göze bile almadım.,negative,ütünün teslimatında bir sıkıntı yok erken ulaştı elime ilk kullanımda su kaçırmaya başladı üzerinde test edilmiştir yazmasına rağmen kesinlikle tavsiye etmiyorum fiyatından dolayı da geri iadeyi ve uğraşmayı göze bile almadım,47,"[('ütünün teslimatında', 4.0), ('geri iadeyi', 4.0)]","[('fiyatından dolayı', 4.0), ('geri iadeyi', 4.0)]"
4232,ürünü daha iyi bekliyordum ama yanılttı. tabanindan olduğu gibi su akıyor. i̇darelik alınabilecek bir ütü. .,negative,ürünü daha iyi bekliyordum ama yanılttı tabanından olduğu gibi su akıyor idarelik alınabilecek bir ütü,30,"[('yanılttı tabanından olduğu', 9.0), ('iyi bekliyordum', 4.0), ('ürünü', 1.0), ('ütü', 1.0)]","[('iyi bekliyordum', 4.0), ('tabanindan olduğu', 4.0), ('su akıyor', 4.0), ('i̇darelik alınabilecek', 4.0), ('ürünü', 1.0), ('yanılttı', 1.0), ('ütü', 1.0)]"
4233,ürünü aldım. ütülemesi buharı iyi fakat fişini çektiğiniz anda içinde bulunan bütün suyu foş diye yere akıtıyor,negative,ürünü aldım ütülemesi buharı iyi fakat fişini çektiğiniz anda içinde bulunan bütün suyu fos diye yere akıtıyor,42,"[('yere akıtıyor', 4.0)]","[('ürünü aldım', 4.0), ('yere akıtıyor', 4.0)]"
4234,buna dikkat edin farketmeseydim parkelerim mahvolacaktı,negative,buna dikkat edin farketmeseydim parkelerim mahvolacaktı,45,[],[]
4235,"buhar ütüleme kalitesi iyi,",negative,buhar ütüleme kalitesi iyi,27,[],[]
4236,"plastik kalitesi ortalama,",negative,plastik kalitesi ortalama,31,"[('plastik kalitesi ortalama', 9.0)]","[('plastik kalitesi ortalama', 9.0)]"
4237,kablonun çıkış yeri çok yukarıda olduğu için kablo kıvrılıyor.,negative,kablonun çıkış yeri çok yukarıda olduğu için kablo kıvrılıyor,22,"[('kablonun çıkış yeri', 9.0), ('yukarıda olduğu', 4.0), ('kablo kıvrılıyor', 4.0)]","[('kablonun çıkış yeri', 9.0), ('yukarıda olduğu', 4.0), ('kablo kıvrılıyor', 4.0)]"
4238,sıradan bir ütü,negative,sıradan bir ütü,19,[],[]
4239,özelliği ve yorumlara bakarak aldım ütüyü fakat anlatılan gibi değil belki bana öyle denk geldi bilmiyorum buharı az su akıtıyor kırışıkları açmadı bile olumsuz yorum yapmak istemezdim ama bana gelen ütü böyleydi ben kullanamazdım iade ettim   hepsiburda güvenilir bir site teşekkür ederim ulaşım gayet hızlı almak isyeyenler bi düşünün derim ,negative,özelliği ve yorumlara bakarak aldım ütüyü fakat anlatılan gibi değil belki bana öyle denk geldi bilmiyorum buharı az su akıtıyor kırışıkları açmadı bile olumsuz yorum yapmak istemezdim ama bana gelen ütü böyleydi ben kullanamazdım iade ettim hepsiburada güvenilir bir site teşekkür ederim ulaşım gayet hızlı almak isteyenler bir düşünün derim,40,"[('gelen ütü böyleydi', 9.0), ('düşünün derim', 4.0), ('özelliği', 1.0), ('değil', 1.0)]","[('gelen ütü böyleydi', 9.0), ('özelliği', 1.0), ('değil', 1.0)]"
4240,kesinlikle tavsiye etmiyorum. henüz alalı 1 ay oldu. 1 kere memnun olarak kullanmadım.,negative,kesinlikle tavsiye etmiyorum henüz alalı ay oldu kere memnun olarak kullanmadım,12,[],"[('kesinlikle tavsiye etmiyorum', 9.0)]"
4241,çok fazla su tüketiyor. gereksiz bir ağırlığı var. ama bunlar gözardı edilebilir.,negative,çok fazla su tüketiyor gereksiz bir ağırlığı var ama bunlar gözardı edilebilir,16,"[('bunlar gözardı edilebilir', 9.0), ('ağırlığı var', 4.0)]","[('fazla su tüketiyor', 9.0), ('bunlar gözardı edilebilir', 9.0), ('ağırlığı var', 4.0), ('gereksiz', 1.0)]"
4242,en büyük sorun kırışıklıkları açmaması. özellikle nevresim kırışıklıklarını hiç açmıyor.  defalarca üzerinden geçmem gerekiyor. yine kırışıklık izi kalıyor gitmiyor.,negative,en büyük sorun kırışıklıkları açmaması özellikle nevresim kırışıklıklarını hiç açmıyor defalarca üzerinden geçmem gerekiyor yine kırışıklık izi kalıyor gitmiyor,15,[],"[('özellikle nevresim kırışıklıklarını', 9.0), ('açmıyor', 1.0)]"
4243,kesinlikle tavsiye etmiyorum.,negative,kesinlikle tavsiye etmiyorum,12,"[('kesinlikle tavsiye etmiyorum', 9.0)]","[('kesinlikle tavsiye etmiyorum', 9.0)]"
4244,çok fazla su tüketiyooorrr,negative,çok fazla su tüketiyooorrr,43,"[('fazla su tüketiyooorrr', 9.0)]","[('fazla su tüketiyooorrr', 9.0)]"
4245,ütü yaparken çıt çit diye ses geliyor sürekli neden olabilir.aynısından komşu da var onda böyle bi sorun yok,negative,ütü yaparken çıt çıt diye ses geliyor sürekli neden olabiliraynısından komşu da var onda böyle bir sorun yok,24,"[('ses geliyor sürekli', 9.0), ('var onda böyle', 9.0), ('olabiliraynısından komşu', 4.0), ('sorun yok', 4.0)]","[('ses geliyor sürekli', 9.0), ('aynısından komşu', 4.0), ('olabilir', 1.0)]"
4246,"2 aydır kullanıyorum ürünü, ütü ağır, su sızdırıyor bu da leke yapıyor, düğmelerin yerleri çok saçma dizayn çok kötü, mesela ütü yaparken elinizle yanlışlıkla sprey düğmesine basabiliyorsunuz ya da ütünün sıcaklık ayarını değiştirebiliyorsunuz.. keşke almasaydım..",negative,aydır kullanıyorum ürünü ütü ağır su sızdırıyor bu da leke yapıyor düğmelerin yerleri çok saçma dizayn çok kötü mesela ütü yaparken elinizle yanlışlıkla sprey düğmesine basabiliyorsunuz ya da ütünün sıcaklık ayarını değiştirebiliyorsunuz keşke almasaydım,23,"[('saçma dizayn', 4.0)]","[('ütü ağır', 4.0), ('su sızdırıyor', 4.0), ('leke yapıyor', 4.0), ('düğmelerin yerleri', 4.0), ('saçma dizayn', 4.0), ('keşke almasaydım', 4.0), ('kötü', 1.0)]"
4247,i̇çindeki suyu dikey biçimde konulduğu zaman akıtıyor,negative,içindeki suyu dikey biçimde konulduğu zaman akıtıyor,38,[],[]
4248,her ütü yapışımda kireç döküyor  kireç izi oldu herşeyim. ,negative,her ütü yapışımda kireç döküyor kireç izi oldu herşeyim,30,[],[]
4249,ısı ayarını ikiye getirdiğimizde sürekli durmadan buhar geliyor. oysa ütülemeye ara verildiğinde düğmeye basınca buharın kesilmesi lazım. daha fazla araştırma yapabilirsiniz,negative,ısı ayarını ikiye getirdiğimizde sürekli durmadan buhar geliyor oysa ütülemeye ara verildiğinde düğmeye basınca buharın kesilmesi lazım daha fazla araştırma yapabilirsiniz,47,"[('fazla araştırma yapabilirsiniz', 9.0)]","[('fazla araştırma yapabilirsiniz', 9.0)]"
4250,ürün çok ağir ve buhari da o kadar güçlü deği̇l,negative,ürün çok ağır ve buharı da o kadar güçlü değil,0,"[('ürün', 1.0), ('ağır', 1.0), ('buharı', 1.0)]","[('ürün', 1.0), ('ağir', 1.0), ('buhari', 1.0)]"
4251,ütü iyi fakat kablosu çok kısa.kablonun kısa oluşu çok kötü uzatma kablosu olmadan ütü yapmak imkansız...,negative,ütü iyi fakat kablosu çok kısakablonun kısa oluşu çok kötü uzatma kablosu olmadan ütü yapmak imkansız,32,"[('kısakablonun kısa oluşu', 9.0)]","[('kablonun kısa oluşu', 8.0), ('kısa', 2.0)]"
4252,performansı annem tarafından hiç beğenilmedi. kırışıklıkları yeterince açmıyormuş...,negative,performansı annem tarafından hiç beğenilmedi kırışıklıkları yeterince açmıyormuş,2,"[('performansı annem tarafından', 9.0)]","[('performansı annem tarafından', 9.0), ('kırışıklıkları yeterince açmıyormuş', 9.0), ('beğenilmedi', 1.0)]"
4253,idare eder fiyatina gore normal bir ürün hizli kargo icin ayrica tesekkür. iyi bir alisveristi. . . almak isteyenler buna gore alabilir. ,negative,idare eder fiyatına göre normal bir ürün hızlı kargo için ayrıca teşekkür iyi bir alışverişti almak isteyenler buna göre alabilir,2,"[('ürün hızlı kargo', 9.0), ('ayrıca teşekkür iyi', 9.0), ('alışverişti almak isteyenler', 9.0), ('göre alabilir', 4.0)]","[('almak isteyenler', 4.0), ('gore alabilir', 4.0), ('iyi', 1.0), ('alisveristi', 1.0)]"
4254,fena değil. fakat buhar gücü daha yüksek bir alternatif denenebilir.,negative,fena değil fakat buhar gücü daha yüksek bir alternatif denenebilir,1,"[('alternatif denenebilir', 4.0), ('yüksek', 1.0)]","[('fakat buhar gücü', 9.0), ('fena değil', 4.0), ('alternatif denenebilir', 4.0), ('yüksek', 1.0)]"
4255,"çok geç ısınıyor, acayip su damlatiyor, kirisik açma özelliği kötü , çok ağır. i̇lk kullandigimda sinir küpüne döndüm.verdim birine gitti.",negative,çok geç ısınıyor acayip su damlatıyor kırışık açma özelliği kötü çok ağır ilk kullandığımda sinir küpüne döndümverdim birine gitti,42,[],"[('acayip su damlatiyor', 9.0), ('verdim birine gitti', 9.0), ('geç ısınıyor', 4.0), ('ağır', 1.0)]"
4256,"ütüyü inceleyerek ve teknik olarak güçlü olduğunu düşünerek satın aldım ancak tamamen hayal kırıklığı yaşadım. ütü yapmayı eziyete dönüştürmekten başka bir şey yaptığı yok. farklı tür kumaşlara geçişte su damlatıyor. kırışıklıkları açmayı kesinlikle başaramıyor. özellikle çarşaf, nevresim, gömlek kısacası pamuklu ürünleri ütülemekte başarısız. anca naylon karışımı yüksek çamaşırlarda biraz kırışıklık açabiliyor. daha düşük modelde bir philips ütü kardeşimde var o daha başarılı ütüleme yapıyor. ",negative,ütüyü inceleyerek ve teknik olarak güçlü olduğunu düşünerek satın aldım ancak tamamen hayal kırıklığı yaşadım ütü yapmayı eziyete dönüştürmekten başka bir şey yaptığı yok farklı tür kumaşlara geçişte şu damlatıyor kırışıklıkları açmayı kesinlikle başaramıyor özellikle çarşaf nevresim gömlek kısacası pamuklu ürünleri ütülemekte başarısız anca naylon karışımı yüksek çamaşırlarda biraz kırışıklık açabiliyor daha düşük modelde bir philips ütü kardeşimde var o daha başarılı ütüleme yapıyor,45,"[('başarılı ütüleme yapıyor', 9.0), ('ütüyü inceleyerek', 4.0), ('düşük modelde', 4.0)]","[('şey yaptığı yok', 9.0), ('başarılı ütüleme yapıyor', 9.0), ('ütüyü inceleyerek', 4.0), ('özellikle çarşaf', 4.0), ('düşük modelde', 4.0), ('nevresim', 1.0)]"
4257,ütümü yeni teslim aldım. i̇lk deneyimim berbat parasını hiç hak etmiyor. önceki ütülerim bundan bin kat daha iyiydi. kırışıklıklar tam gitmiyor. buhar sistemi kötü. buradaki yorumları okuyarak almıştım. olağan üstü bir ütü beklemeyin. bu ütüye de bu kadar para vermeye hiç gerek yok. ,negative,ütümü yeni teslim aldım ilk deneyimim berbat parasını hiç hak etmiyor önceki ütülerim bundan bin kat daha iyiydi kırışıklıklar tam gitmiyor buhar sistemi kötü buradaki yorumları okuyarak almıştım olağan üstü bir ütü beklemeyin bu ütüye de bu kadar para vermeye hiç gerek yok,40,"[('kadar para vermeye', 9.0), ('ütü beklemeyin', 4.0), ('gerek yok', 4.0), ('kat', 1.0), ('ütüye', 1.0)]","[('kırışıklıklar tam gitmiyor', 9.0), ('buhar sistemi kötü', 9.0), ('kadar para vermeye', 9.0), ('hak etmiyor', 4.0), ('önceki ütülerim', 4.0), ('olağan üstü', 4.0), ('ütü beklemeyin', 4.0), ('gerek yok', 4.0), ('kat', 1.0), ('iyiydi', 1.0)]"
4258,gömlekler de ki kırışıkları açmıyor sadece iyi çizgi brakıyor. kırışıklar için bayağı vakit harcamanız gerekiyor ki bu konuda normal ütüden hiç bir farkı yok... ki şok buharını sürekli kullanınca damlatma yapıyor.,negative,gömlekler de ki kırışıkları açmıyor sadece iyi çizgi bakıyor kırışıklar için bayağı vakit harcamanız gerekiyor ki bu konuda normal ütüden hiç bir farkı yok ki şok buharını sürekli kullanınca damlatmasana yapıyor,9,"[('konuda normal ütüden', 9.0), ('farkı yok', 4.0), ('gömlekler', 1.0)]","[('konuda normal ütüden', 9.0), ('farkı yok', 4.0), ('gömlekler', 1.0), ('kırışıklar', 1.0)]"
4259,kumarlarda aşırı parlama yapıyor. hepsi burada com ürün değişimi asla yapmıyor.,negative,kumarlarda aşırı parlama yapıyor hepsi burada çöm ürün değişimi asla yapmıyor,28,[],[]
4260,aldım.ürün lisans süresi 1 yıldır.tüketiciler buna dikkat etsin.,negative,aldımürün lisans süresi yıldırtüketiciler buna dikkat etsin,49,"[('dikkat etsin', 4.0)]","[('dikkat etsin', 4.0), ('aldım', 1.0), ('tüketiciler', 1.0)]"
4261,"yaklaşık 3 ay önce aldım bu ürünü. normalde daha iyi bir marka olan ürünüm salonda var , bu ürünü çocuk odası için aldım , özellikle youtube kullanmak için. fakat çok yetersiz ve çok yavaş. hani bu kadar olmaz artık diyorum, net bağlantısını kablo ile yapmamıza rağmen tuhaf derecede yavaş. her gün eşimle smart ama geri smart diyoruz.",negative,yaklaşık ay önce aldım bu ürünü normalde daha iyi bir marka olan ürünüm salonda var bu ürünü çocuk odası için aldım özellikle youtube kullanmak için fakat çok yetersiz ve çok yavaş hani bu kadar olmaz artık diyorum net bağlantısını kablo ile yapmamıza rağmen tuhaf derecede yavaş her gün eşimle smart ama geri smart diyoruz,6,"[('gün eşimle smart', 9.0), ('geri smart diyoruz', 9.0), ('ürünü çocuk odası', 8.5), ('ürünü normalde', 4.5), ('yavaş hani', 4.0), ('iyi', 1.0), ('fakat', 1.0), ('yetersiz', 1.0)]","[('özellikle youtube kullanmak', 9.0), ('net bağlantısını kablo', 9.0), ('gün eşimle smart', 9.0), ('geri smart diyoruz', 9.0), ('ürünü çocuk odası', 8.0), ('ürünü', 2.0), ('normalde', 1.0), ('iyi', 1.0), ('aldım', 1.0), ('fakat', 1.0)]"
4262,tv yi̇ alali 4 ay kadar oldu ürün vasat çök ktü kali̇te yok duvar aski aparati vasat kanaldan kanala geçi̇şi̇ çok yavaş bu tv yi̇ alana kadar eski̇ tüplü tv daha i̇yi̇ ,negative,tv yi̇ alalı ay kadar oldu ürün vasat çok ktü kalite yok duvar askı aparatı vasat kanaldan kanala geçi̇şi̇ çok yavaş bu tv yi̇ alana kadar eski tüplü tv daha i̇yi̇,34,"[('yavaş', 1.0), ('i̇yi̇', 1.0)]","[('yavaş', 1.0), ('i̇yi̇', 1.0)]"
4263,fiyatına göre fena değil ama smart özelligi iyi degil ayrica internete kablosuz bağlanmak íçín sonradan para ile alınan wifi veezy 200 adaptör hıcbir işe yaramıyor.kablosuz internete bağlanmak hayal.boşuna adaptöre 60tl verdim.internete kablolu bağlantıda sorun yok ama aşırı yavaş açiyor internet sitelerinin sayfalarini. sonuc smart özelligi icin alicaksaniz almayın.,negative,fiyatına göre fena değil ama smart özelliği iyi değil ayrıca internete kablosuz bağlanmak íçín sonradan para ile alınan wifi veezy adaptör hiçbir işe yaramıyorkablosuz internete bağlanmak hayalboşuna adaptöre tl verdiminternete kablolu bağlantıda sorun yok ama aşırı yavaş açıyor internet sitelerinin sayfalarını sonucu smart özelliği için alicaksaniz almayın,12,"[('alicaksaniz almayın', 4.0)]",[]
4264,tamam ekran boyutu fiyatına göre cazip gelebilir ama ben aldım ve aynı gün iade ettim. i̇ade işlemindeki hız için hb' ye teşekkürler.,negative,tamam ekran boyutu fiyatına göre cazip gelebilir ama ben aldım ve aynı gün iade ettim iade işlemindeki hız için hb ye teşekkürler,22,"[('hb ye teşekkürler', 9.0), ('aldım', 1.0)]","[('i̇ade işlemindeki hız', 9.0), (""hb' ye teşekkürler"", 9.0), ('aldım', 1.0)]"
4265,"ürünü almayı düşünenler için ürün dışında yazdığı gibi aslında lg led monitör, tv değil bunu bilerek alın. bence görüntü kalitesi fiyatına göre güzel ikinci tv olarak almayı düşünenlere veya pc ekranı olarak kullanmak isteyenlere ideal. ama bu ürünü almak isteyenler fiyat araştırmasını iyi yapın çünkü her hafta ürünün fiyatı düşüyor ve fiyatı düşen ürünün para iadesini de yapmıyor hepsiburada.com bilgininiz olsun. almak isteyenlere bu fiyata bulabileceğiniz en güzel monitörlerden tavsiye ederim herkese. ürünün fiyatı düştüğü için 1 yıldız veriyorum.",negative,ürünü almayı düşünenler için ürün dışında yazdığı gibi aslında lg led monitör tv değil bunu bilerek alın bence görüntü kalitesi fiyatına göre güzel ikinci tv olarak almayı düşünenlere veya pc ekranı olarak kullanmak isteyenlere ideal ama bu ürünü almak isteyenler fiyat araştırmasını iyi yapın çünkü her hafta ürünün fiyatı düşüyor ve fiyatı düşen ürünün para iadesini de yapmıyor Hepsiburada'cım bilgininiz olsun almak isteyenlere bu fiyata bulabileceğiniz en güzel monitörlerden tavsiye ederim herkese ürünün fiyatı düştüğü için yıldız veriyorum,36,"[('ürünü almayı düşünenler', 9.0), ('ürün dışında yazdığı', 9.0), ('fiyata bulabileceğiniz', 4.0), ('yıldız veriyorum', 4.0)]","[('ürünü almayı düşünenler', 9.0), ('ürün dışında yazdığı', 9.0), ('com bilgininiz olsun', 9.0), ('ürünün fiyatı düştüğü', 9.0), ('tv değil', 4.0), ('bilerek alın', 4.0), ('yapmıyor hepsiburada', 4.0), ('almak isteyenlere', 4.0), ('fiyata bulabileceğiniz', 4.0), ('1 yıldız veriyorum', 4.0)]"
4266,herkes tv diye aldi yazik monitör bu hdmi girisi ile tv oluyor ama diger girisler yok ne vga ne karasal yayin nede rs232 hic biri yok  alacak arakadaslar bunlari göz onunde bulundurarak alsin mutfak icin ideal,negative,herkes tv diye aldı yazık monitör bu hdmı girişi ile tv oluyor ama diğer girişler yok ne vga ne karasal yayın nede rs hiç biri yok alacak arkadaşlar bunları göz önün de bulundurarak alsın mutfak için ideal,30,"[('aldı yazık monitör', 9.0), ('diğer girişler yok', 9.0), ('bulundurarak alsın mutfak', 9.0), ('herkes tv', 4.0), ('hdmı girişi', 4.0), ('tv oluyor', 4.0), ('vga', 1.0), ('ideal', 1.0)]","[('aldi yazik monitör', 9.0), ('diger girisler yok', 9.0), ('herkes tv', 4.0), ('hdmi girisi', 4.0), ('tv oluyor', 4.0), ('vga', 1.0)]"
4267,ben babamın mutfağı icin aldim.teslimatta hic sorun yasamadim.hizli bir sekilde elime ulasti.fakat urunde scart girisi yok.hdmı cikisli uydu gerekiyor.ekran mutfak icin yeterli.yatak odasi veya cocuk odasi icin tercih edilmez,negative,ben babamın mutfağı için aldımteslimatta hiç sorun yaşamadımhızlı bir şekilde elime ulaştifakat üründe şart girişi yokhdmi çıkışlı uydu gerekiyörekran mutfak için yeterliyatak odası veya çocuk odası için tercih edilmez,10,"[('babamın mutfağı', 4.0), ('sorun yaşamadımhızlı', 4.0), ('yeterliyatak odası', 4.0), ('çocuk odası', 4.0), ('tercih edilmez', 4.0), ('aldımteslimatta', 1.0)]","[('sekilde elime ulasti', 9.0), ('yatak odasi', 4.0), ('hizli', 1.0)]"
4268,"tv nin anten girişi scart girişi yok ek bi parça alınması gerekiyor galiba , alıcak olanlar göz önünde bulundursun.",negative,tvnin anten girişi şart girişi yok ek bir parça alınması gerekiyor galiba alacak olanlar göz önünde bulundursun,13,[],[]
4269,28 için bir monitöre göre bu devirde 1366x768 çözünürlük oldukça vasat. para vermeye değmez.,negative,için bir monitöre göre bu devirde x çözünürlük oldukça vasat para vermeye değmez,47,"[('monitöre göre', 4.0)]","[('para vermeye değmez', 9.0), ('monitöre göre', 4.0)]"
4270,tuner yok ve harici uydu alicilarla görüntü kalitesini yakalayamiyosunuz. tavsiye etmiyorum,negative,tuner yok ve harici uydu alıcılarla görüntü kalitesini yakalayamıyorsunuz tavsiye etmiyorum,42,"[('tuner yok', 4.0)]","[('tuner yok', 4.0), ('tavsiye etmiyorum', 4.0)]"
4271,"philips marka baska model bir tv kullaniyorum. kampanyali diye 3000tl ye yakin bir para harcadim. pismanim. tek begendim ozeligi amblight. sorunlu serileri turkiyeye gonderdiklerini dusunuyorum. simdiki aklim olsa, ayni ozellikler icin yerli bir marka tercihederdim. sorun olsa bile verdigim paranin cogu ulkemde kalirdi...",negative,philips marka başka model bir tv kullanıyorum kampanyalı diye tl ye yakın bir para harcadım pişmanım tek beğendim özeliği amblight sorunlu serileri türkiyeye gönderdiklerini düşünüyorum şimdi ki aklım olsa aynı özellikler için yerli bir marka tercihederdim sorun olsa bile verdiğim paranın çoğu ülkemde kalırdı,23,"[('tv kullanıyorum kampanyalı', 9.0), ('tl ye yakın', 9.0), ('yerli', 1.0)]","[('3000tl ye yakin', 9.0), ('simdiki aklim olsa', 9.0), ('tv kullaniyorum', 4.0), ('para harcadim', 4.0), ('marka tercihederdim', 4.0), ('kampanyali', 1.0), ('pismanim', 1.0)]"
4272,bu ürünü 1-2 ay önce aldım indirim vardı acele ettim aldığıma pişmanım kanal geçişi 4-5-6 saniye aralığında sürüyor ve 4 gb hafızası var en fazla 3 uygulama yükleniyor. 1 tane usb girişi var lg tv yapamıyormuş. tv keyfi kanal geçişindedir zap lamak önemlidir. bu arada tv açılışı falan hızlı diğer özellikleri iyi,negative,bu ürünü ay önce aldım indirim vardı acele ettim aldığıma pişmanım kanal geçişi saniye aralığında sürüyor ve gb hafızası var en fazla uygulama yükleniyor tane usb girişi var lg tv yapamıyormuş tv keyfi kanal geçişindedir zaplamak önemlidir bu arada tv açılışı falan hızlı diğer özellikleri iyi,6,"[('gb hafızası var', 9.0)]",[]
4273,tv cok hizli bir sekilde geldi kargo we gonderim suresi cok hizli ama pc baglayinca performansini begenmedim renkleri cok vasat grldi bana arti anten girisi yok tv de keske belirtilseymis illa bi reciver olmasi sart direk antenden kablolu tv fln izliyemiyosunuz,negative,tv çok hızlı bir şekilde geldi kargo we gönderim süresi çok hızlı ama pc bağlayınca performansını beğenmedim renkleri çok vasat geldi bana artı anten girişi yok tv de keşke belirdirilseymiş illa bir seçiver olması şart direk antenden kablolu tv falan ızliyemiyosunuz,25,"[('keşke belirdirilseymiş illa', 9.0), ('vasat geldi', 4.0), ('hızlı', 1.0)]","[('tv cok hizli', 9.0)]"
4274,tv alacaklara görüntü ses kalitesi mükkemel fakat internete bağlayıp en basitinden bir film izlemeye kalktığınızda yetersiz bellek uyg. tekrardan başlatılıyor diyor. ve filmi kapatıyor sf yeniden yüklüyor bu işletim sistemi yerine philips vb markalar gibi android tabanlı amllı tv öneriyorum.,negative,tv alacaklara görüntü ses kalitesi mükemmel fakat internete bağlayıp en basitinden bir film izlemeye kalktığınızda yetersiz bellek uyg tekrardan başlatılıyor diyor ve filmi kapatıyor sf yeniden yüklüyor bu işletim sistemi yerine philips vb markalar gibi android tabanlı ameli tv öneriyorum,9,"[('basitinden', 1.0)]","[('tekrardan başlatılıyor diyor', 9.0), ('basitinden', 1.0)]"
4275,karasal anten ( tuner ) girişi yok monitörü tv diye satıyorlar,negative,karasal anten turner girişi yok monitörü tv diye satıyorlar,5,"[('satıyorlar', 1.0)]","[('karasal anten', 4.0), ('tuner', 1.0), ('satıyorlar', 1.0)]"
4276,kurulumu kendi̇n yapacaksin veya servi̇se ücret karşiliği yaptiracaksin. bende çi̇ft çanak var. tv ni̇n uydu alicisi türksati görmüyor. astra yi tariyor. türksat ayarlamak i̇çi̇n ücretli̇ servi̇s çağrilmasi gereki̇yor.,negative,kurulumu kendin yapacaksın veya servise ücret karşılığı yaptıracaksın bende çift çanak var tv ni̇n uydu alıcısı turksatı görmüyor astra yi tarıyor türksat ayarlamak i̇çi̇n ücretli servis çağrılması gerekiyor,18,"[('kurulumu kendin yapacaksın', 9.0)]","[('kurulumu kendi̇n yapacaksin', 9.0), ('astra yi tariyor', 9.0)]"
4277,hiç beğenmedim görüntü kalitesi scartla sıfır tabiki bu beğenen kullanıcılar hdm izliyorsa bilemem bana göre degmez,negative,hiç beğenmedim görüntü kalitesi şartla sıfır tabii ki bu beğenen kullanıcılar hdm izliyorsa bilemem bana göre değmez,47,"[('göre değmez', 4.0)]","[('göre degmez', 4.0)]"
4278,"ben daha önce 2 tane lg aldım, bu aldığım 3.tv ve tamamen hayal kırıklığı.",negative,ben daha önce tane lg aldım bu aldığım tv ve tamamen hayal kırıklığı,34,"[('tamamen hayal kırıklığı', 9.0), ('aldığım tv', 4.0)]","[('tamamen hayal kırıklığı', 9.0), ('aldığım 3', 1.0)]"
4279,"tvde renkler tuhaf, bir türlü randımanlı olarak görüntüyü ayarlayamıyorsunuz, ya çok parlak, ya çok karanlık, ya çok keskin ya çok silik... ekran sanki el feneri ile aydınlatılıyormuş gibi arka ışık veriyor.",negative,tvde renkler tuhaf bir türlü randımanlı olarak görüntüyü ayarlayamıyorsunuz ya çok parlak ya çok karanlık ya çok keskin ya çok silik ekran sanki el feneri ile aydınlatılıyormuş gibi arka ışık veriyor,46,"[('tvde renkler tuhaf', 9.0), ('arka ışık veriyor', 9.0), ('silik ekran', 4.0), ('el feneri', 4.0), ('parlak', 1.0), ('karanlık', 1.0), ('keskin', 1.0), ('aydınlatılıyormuş', 1.0)]","[('tvde renkler tuhaf', 9.0), ('arka ışık veriyor', 9.0), ('el feneri', 4.0), ('parlak', 1.0), ('karanlık', 1.0), ('keskin', 1.0), ('silik', 1.0), ('ekran', 1.0), ('aydınlatılıyormuş', 1.0)]"
4280,"smart özellikleri ise sadece laf olsun diye koyulmuş, hiç bir tanesi kullanılabilir nitelikte değil. ",negative,smart özellikleri ise sadece laf olsun diye koyulmuş hiç bir tanesi kullanılabilir nitelikte değil,6,"[('sadece laf olsun', 9.0), ('smart özellikleri', 4.0), ('koyulmuş', 1.0)]","[('sadece laf olsun', 9.0), ('smart özellikleri', 4.0), ('koyulmuş', 1.0)]"
4281,"ayrıca panel çok dayanıksız, dokunduğunuzda renkler değişiyor, panel esniyor filan...",negative,ayrıca panel çok dayanıksız dokunduğunuzda renkler değişiyor panel esniyor filan,27,"[('ayrıca panel', 4.0)]","[('dokunduğunuzda renkler değişiyor', 9.0), ('panel esniyor filan', 8.5), ('ayrıca panel', 4.5), ('dayanıksız', 1.0)]"
4282,bluetooth klavye/mouse takılamıyor.,negative,bluetooth klavyemouse takılamıyor,45,"[('bluetooth klavyemouse takılamıyor', 9.0)]","[('bluetooth klavye/mouse takılamıyor', 9.0)]"
4283,"fullhd olmayan yayınlar tv de dynamic upscaling özelliği olmadığından aşırı derecede kötü görünüyor, ekrandaki eğimli görüntülerde tırtıklı köşeler oluşuyor filan...",negative,fullhd olmayan yayınlar tv de dynamic upscaling özelliği olmadığından aşırı derecede kötü görünüyor ekrandaki eğimli görüntülerde tırtıklı köşeler oluşuyor filan,20,[],[]
4284,i̇ade ettim.,negative,ifade ettim,37,"[('ifade ettim', 4.0)]","[('i̇ade ettim', 4.0)]"
