id,texts,labels,PREPROCESSED_texts,SENTIMENT_PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,LANG_PREPROCESSED_texts
552,ürün hızlı bir şekilde teslim edildi hepsiburadaya 5 yıldız bununla birlikte aşağı yukarı her markayı denemiş bir kişi olarak ve bugüne kadar aldığım en yavaş usb bellek açıkçası kimseye tavsi̇ye etmi̇yorum. 2 kere denedim ve ortalama kopyalama hızı 5mb/second,negative,ürün hızlı teslim edildi hepsiburadaya yıldız bununla birlikte aşağı yukarı markayı denemiş kişi bugüne aldığım yavaş usb bellek açıkçası kimseye tavsiye etmiyorum kere denedim ortalama kopyalama hızı mbsecond,negative,0,tr
553,tümü metal diye bekliyordum.ama ust metal kaplama sadece ve aktarım hızı çok yavaş. ayrıca usb yuvasına zor takılıyor.,negative,metal bekliyordumama üstü metal kaplama sadece aktarım hızı yavaş usb yuvasına zor takılıyor,negative,4,tr
554,parkdale ile test ettim ,negative,parkdale test ettim,negative,1,et
555,yazma hızı 4.9 mb.,negative,yazma hızı mb,negative,4,tr
556,okuma hızı 38.7 mb,negative,okuma hızı mb,negative,4,tr
557,çıktı.,negative,çıktı,negative,1,tr
558,beklediğim gibi çıkmadı. ben full metal sanmıştım. ama fiyatı da ucuzdu. ürün çok geç kargoya verildi. bu olumsuz bir durum oldu. nerdeyse vazgeçiyordum. ürün plastik. üstü metal kaplama. anahtarlık için kullanacağım için aldı. daha önce çok bellek harcadım. metal olduğu için tercih ettim. ama sadece dışı metal kaplama. bakalım ne kadar dayanacak. biraz daha fazla para verip full metal olanlar tercih edilebilir.,negative,beklediğim çıkmadı full metal sanmıştım fiyatı üçüzdü ürün geç kargoya verildi olumsuz durum neredeyse vazgeçiyordum ürün plastik üstü metal kaplama anahtarlık kullanacağım aldı bellek harcadım metal tercih ettim sadece dışı metal kaplama bakalım dayanacak fazla para verip full metal olanlar tercih edilebilir,negative,0,tr
559,"2 yıldır kullanıyorum bu ürünü.şu an yazma korumalı hale geldi.yazılmıyor,silinmiyor,format atılmıyor.araştırmalarıma göre sandisklerde bu sorun varmış.tavsiye etmiyorum.",negative,yıldır kullanıyorum ürünüşü an yazma korumalı hale geldiyazılmıyorsilinmiyorformat atılmıyoraraştırmalarıma sandisklerde sorun varmıştavsiye etmiyorum,negative,0,tr
560,2 ay önce aldığım ürün birkaç kullanımdan sonra bozuldu sistemsel olarak . tavsiye etmem bilindik markalardan şaşmayın..,negative,ay aldığım ürün kullanımdan bozuldu sistemsel tavsiye etmem bilindik markalardan şaşmayın,negative,3,tr
561,ürün ucuz ancak çok yavaş veri aktarımı. usb 3.00 kullanmama rağmen 5 - 8 mb/s ile veri aktardım. çok kullanışu değil,negative,ürün ucuz yavaş veri aktarımı usb kullanmama mbs veri aktardım kullanışı,negative,4,tr
562,kisa ve oz gidin baska marka printer alin. lan baglantisi yok wifi da telefondan print etmek icin profesor diplomasi lazım.,negative,kısa öz gidin başka marka printer alın lan bağlantısı yok wifi telefondan print etmek için profesör diplomasi lazım,negative,0,tr
563,ürün gayet şık ve kullanışlı.. yalnız veri aktarma hızı benim beklentimi karşılamadı.. ısınma konusunda bişey söylemek için erken daha yeni kullanmaya başladım..,negative,ürün gayet şık kullanışlı yalnız veri aktarma hızı beklentimi karşılamadı ısınma konusunda bir şey söylemek erken yeni kullanmaya başladım,negative,1,tr
564,"usb kablosu çok kısa, sinir bir şey. tv ye bağlanmasın insanlar sinir olsun diye yapılmış sanki sıfır ürün yeni açtım kutuyu inan bilseydim bunun hesabını yaptıklarını almazdım onca para verdim şimdi bide kablo alıcam yazıklar olsun..",negative,usb kablosu kısa sınır tv bağlanmasın insanları sinir yapılmış sıfır ürün yeni açtım kutuyu inan bilseydim hesabını yaptıklarını almazdım onca para verdim bide kablo alacağım yazıklar,negative,4,tr
565,bekledigimden daha yavas veri aktarımı oluyor ama sorunda cıkarmıyor,negative,beklediğimden yavaş veri aktarımı sorunda çıkarmıyor,negative,1,tr
566,çalışır durumda iken  aşayamı koysam yoksa laptopun yanına mı koysam diye oynarken elimden düştü. kablosu takılı olduğu için yere düşmedi sadece havada asılı kaldı.sanırım su an bozuldu.pc görüyor ama içine giremiyorum.kaliteli diye almıştım ama hayal kırıklığına uğradım. yere düşseydi eyvallah diyecektim ama yere düşmeden asılı kalması bile bozulmasına yetti.,negative,çalışır durumda iken aşamamı koysam lap topun yanına koysam oynarken elimden düştü kablosu takılı yere düşmedi sadece havada asılı kaldısanırım şu an bozuldupc görüyor içine giremiyorumkaliteli almıştım hayal kırıklığına uğradım yere düşseydi eyvallah diyecektim yere düşmeden asılı kalması bozulmasına yetti,negative,1,tr
567,yazma ve okuma hızları beklediğim performansın çok altında çıktı.  bilgisayarın sistemine göre değerler çok değişiklik gösterebilmektedir,negative,yazma okuma hızları beklediğim performansın altında çıktı bilgisayarın sistemine değerler değişiklik gösterebilmektedir,negative,2,tr
568,"buradan aldığım lenovo yoga 510 la birlikte geldi, bilgisayar 14&#8220; olduğu için boyutlar tutmadı, ekran koruyucuyu uzun tarafından kestim, kapak koruyucusunu her taraftan kestim, klavye koruyucusu kesilince bişeye benzemeyeceği için dokunmadım ona zaten kullanışlı bişey değil, temizleme spreyi çok güzel, anlamadığım nokta niye sadece 15.6 dan başka boyut seçeneği yok, her ebatta olmalı, para verip alınır mı derseniz ; kesinlikle hayır.",negative,buradan aldığım lenovo yoga la birlikte geldi bilgisayar boyutlar tutmadı ekran koruyucuyu uzun kestim kapak koruyucusunu taraftan kestim klavye koruyucusu kesilince birşeye benzemeyeceği dokunulmadım kullanışlı bir şey temizleme spreyi güzel anlamadığım nokta sadece başka boyut seçeneği yok ebatta olmalı para verip alınır derseniz kesinlikle hayır,negative,1,tr
569,ekran temizleme kiti hariç diğer ürünler kullanışlı değil ,negative,ekran temizleme kiti hariç ürünler kullanışlı,negative,1,tr
570,sprey harici hiç birşey kullanım için uygun değil,negative,sprey harici kullanım uygun,negative,1,tr
571,klavye koruyucusı çok iyi,negative,klavye koruyucusu iyi,negative,2,tr
572,klavye için olan koruma güzel. diğerleri de idare eder.,negative,klavye koruma güzel idare eder,negative,2,tr
573,ürün çok kaliteli değil. ,negative,ürün kaliteli,positive,4,tr
574,"notebook yanında hediye geldi,temizlik malzemeleri idare eder ama ekran koruyucu yaramaz.",negative,notebook yanında hediye gelditemizlik malzemeleri idare eder ekran koruyucu yaramaz,negative,2,tr
575,pek kullanışlı bir ürün değil ama düşünülmesi iyi....,negative,kullanışlı ürün düşünülmesi iyi,negative,1,tr
576,peek kullanışlı değil,negative,peek kullanışlı,negative,1,tr
577,ürün fena değil ,negative,ürün fena,negative,2,tr
578,hb den laptop almıştım. yanında hediye verildi. hiç kullanmadım çünkü kullanılacak gibi değil. para verip almak büyük hata olur.,negative,hb den laptop almıştım yanında hediye verildi kullanmadım kullanılacak para verip almak büyük hata,negative,0,tr
579,klavye koruyucusu diye içinden çıkan ürün tam saçmalık.  zaten benim pcnin arka kapak kismi da düz değil o yuzden onu kullanamadim. pc yaninda hediye doye geldi ama gelmese de olurdu..,negative,klavye koruyucusu içinden çıkan ürün saçmalık pcnin arka kapak kısmı düz yüzden kullanmadım pc yanında hediye diye geldi gelmese olurdu,negative,1,tr
580,sadece klavye için olan ürün idare eder.geri kalan ürünleri beğenmedim.hediye edilmese de olur.,negative,sadece klavye ürün idare ederleri kalan ürünleri beğenmedimhediye edilmese,negative,4,tr
581,uygulaması mümkün değil çok kullanışsız ,negative,uygulaması mümkün kullanışsız,negative,2,tr
582,kullanımı zor. işi kolaylaştıracak aparat yok. arka koruyucu büyük geliyor ve en ufak müdahalede kötü duruyor. ,negative,kullanımı zor işi kolaylaştıracak aparat yok arka koruyucu büyük geliyor ufak müdahalede kötü duruyor,negative,1,tr
583,hediye için teşekkürler hb. ama hiç göndermeseniz daha iyiydi. zaman harcamak zorunda kaldım.,negative,hediye teşekkürler hb göndermeseniz iyiydi zaman harcamak zorunda kaldım,negative,2,tr
584,"ekran koruyucuyu yapıştırmak çok zor,hava kabarcıkları oluyor,işe yaramaz,arka koruyucunun ebatı büyük.gereksiz bir ürün.hediye olduğu için teşekkürler.",negative,ekran koruyucuyu yapıştırmak zorhava kabarcıkları oluyorişe yaramazarka koruyucunun batı büyükgereksiz ürünhediye teşekkürler,negative,3,tr
585,hiç kaliteli değil.,negative,kaliteli,positive,4,lt
586,"klavye koruyucu silikon yapışmayan bir kaplama ve tuşlar zar zor seçiliyor, kullanışsız. koruyucuları hava kabarcığı olmadan takmak çok zor.  defalarca denedim olmadı hepsini attım.     ",negative,klavye koruyucu silikon yapışmayan kaplama tuşlar zar zor seçiliyor kullanışsız koruyucuları hava kabarcığı olmadan takmak zor defalarca denedim hepsini attım,negative,2,tr
587,eğer fiyatı 5 tl olsaydı harika bir ürün diyebilirdim...,negative,fiyatı tl olsaydı harika ürün diyebilirdim,negative,1,tr
588,klavye koruyucu hariç diğerleri kötü.,negative,klavye koruyucu hariç kötü,negative,1,tr
589,"17,3 pc aldım, hediye olarak gönderilen 15,6 için  faydasız",negative,pc aldım hediye gönderilen faydasız,negative,4,tr
590,gereksiz bir ürün para ile değil parasız bile almamak lazım kargoyla uğraştıgınıza değmez,negative,gereksiz ürün para parasız almamak lazım kargoyla uğraştığınıza değmez,negative,4,tr
591,klavye koruyusunda klavye gözükmüyor. arka koruyucu 15.6 ekrana büyük. br cam koruyucusu işe yarardı onu da düzgün yapıştıramazsanız kabarcıkalr oluyor  bilgisayarın yanında hediye göndermişlerdi ama gereksiz,negative,klavye koruyuşunda klavye gözükmüyor arka koruyucu ekrana büyük br cam koruyucusu işe yarardı düzgün yapıştıramazsanız kabarcıklar bilgisayarın yanında hediye göndermişlerdi gereksiz,negative,2,tr
592,kullanımı ve uygulaması iyi değil,negative,kullanımı uygulaması iyi,negative,2,tr
593,"hediye gelmesine rağmen koruyucuları çöpe attım, temizlik seti de bir köşede bayatlar tahminimce..",negative,hediye gelmesine koruyucuları çöpe attım temizlik seti köşede bayatlar tahminimce,negative,4,tr
594,kesinlikle para verip almayınız..,negative,kesinlikle para verip almayın,negative,2,tr
595,çok zor yapıştırılıyor ayarlaması çok zor ayrıca jelatin çok kalın,negative,zor yapıştırılıyor ayarlaması zor jelatin kalın,negative,1,tr
596,sadece temizleyicisi iyi baska gereksiz diğer parçalari,negative,sadece temizleyicisi iyi başka gereksiz parçaları,negative,4,tr
597,olağanüstü kötü bir ürün ,negative,olağanüstü kötü ürün,negative,1,tr
598,ayrıntılar benden önce yazıldı ,negative,ayrıntılar yazıldı,positive,4,tr
599,bunları hava kabarcığı yaratmadan yapıştırmak mümkün değil ,negative,hava kabarcığı yaratmadan yapıştırmak mümkün,negative,2,tr
600,olduğu gibi  çöpe attım,negative,çöpe attım,negative,4,tr
601,bedava olması bir jest ,negative,bedava jest,positive,4,hr
602,asla para ile satmayınız ve bunun yerine yarar herhangi bir şey vermeniz daha anlamlı .. ,negative,para satmayın yarar vermeniz anlamlı,negative,0,tr
603,hiç bi işe yaramaz sadece temizleme suyu ve bezi kullanılır diğerlerini çöpe attım.,negative,bir işe yaramaz sadece temizleme suyu bezi kullanılır diğerlerini çöpe attım,negative,0,tr
604,para verilip alınmaya değmez.. fiyatının cok aşağısında bir ürün.,negative,para verilip alınmaya değmez fiyatının çok aşağısında ürün,negative,0,tr
605,urun laptop aldigim icin bedava geldi. para verilip asla alinmaz. oncelikle uygulamasi gercekten zor. kapak korumasi kapaga buyuk geliyor bu nedenle uygulamadan once korumayi kapaga uygun kesip uygulamakta fayda var.ekran korumasinin uygulamasi kolay ama cok hava birakiyor. klavye korumasi garip bir sey yani gömlek gibi bir sey.,negative,ürün laptop aldığım için bedava geldi para verilip alınmaz öncelikle uygulaması gerçekten zor kapak koruması kapağa büyük geliyor uygulamadan önce korumayı kapağa uygun kesip uygulamakta fayda varekran korumasının uygulaması kolay çok hava bırakıyor klavye koruması garip şey gömlek şey,negative,2,tr
606,kullanışlı değil.  klavye koruyucudur tuşlar görünmüyor.  arka kapak koruyucusu boyutu 15.6 içten fazla ve yapışkan çok fazla,negative,kullanışlı klavye koruyucudur tuşlar görünmüyor arka kapak koruyucusu boyutu içten fazla yapışkan fazla,negative,1,tr
607,hediye için teşekkürler ancak sadece temizleme&#160;solüsyonu biraz işe yarar. gerisi çöpe gitti.,negative,hediye teşekkürler sadece temizlemesolüsyonu işe yarar gerisi çöpe gitti,negative,0,tr
608,klavye koruyucu şeffaf değil.ışıklı klavyede ancak kullanabilirsiniz.kapak koruyucu büyük  ayarlayıp fazlalağını kesmek lazım .kısacası olmasada olur :bir ürün.hediye olarak geldiği için kullanıyorum.bu kadar para vermeye değmez bence...,negative,klavye koruyucu şeffaf değilışıklı klavyede kullanabilirsinizkapak koruyucu büyük ayarlayıp fazlalığını kesmek lazım kısacası olmasa da ürünhediye geldiği kullanıyorumbu para vermeye değmez bence,negative,0,tr
609,hiç bir anlamı yok. hediye olarak gelmese eve koymam.,negative,anlamı yok hediye gelmese eve koymam,negative,3,tr
610,klavye koruyucu kalitesiz takmamla yırtılması bir oldu,negative,klavye koruyucu kalitesiz takmamla yırtılması,negative,0,tr
611,bu kadar kalitesiz başka ürün görmedim,negative,kalitesiz başka ürün görmedim,negative,1,tr
612,kullanışlı bulduğumu söyleyemem ,negative,kullanışlı bulduğumu söyleyemem,negative,1,tr
613,kullanişli deği̇l. değmez.,negative,kullanışlı değil değmez,negative,0,tr
614,"hediye olarak geldiği için kullanılabilir ama bence çokta lüzum değil, klavye koruyucusu fazla şeffaf olmadığı için düğmeler pek iyi görünmüyor.",negative,hediye geldiği kullanılabilir bence çokta lüzum klavye koruyucusu fazla şeffaf düğmeler iyi görünmüyor,negative,2,tr
615,hic bir işe yaramiyor cok gereksiz kimseye tavsiye etmiyorum,negative,hiç işe yaramıyor çok gereksiz kimseye tavsiye etmiyorum,negative,0,tr
616,bu kadar kötü bi ürün daha olmaz sakin almayın ,negative,kötü bir ürün sakın almayın,negative,0,tr
617,"aldığım 10 inç bilgisayar yanında 15.6 inçlik bu ürün ücretsiz geldi. kesip kesip yapıştırayım mı, ne yani? ürün kalitesi kesinlikle parasına değmez. i̇çinden çıkan 3 ürünün 2'sini çöpe attım; klavye koruyucuyu da eski bilgisayarımın klavyesinin üzerine örttüm. bilgisayar koruyucu çok güçlü yapışıyor; geri çıkarmak isterken bilgisayara zarar verebilir. sonuç: ücretsiz geliyorsa bir bakın, deneyin falan ama kesinlikle para vermeyin.",negative,aldığım inç bilgisayar yanında inçlik ürün ücretsiz geldi kesip kesip yapıştırayım ürün kalitesi kesinlikle parasına değmez içinden çıkan ürünün sini çöpe attım klavye koruyucuyu eski bilgisayarımın klavyesinin üzerine örttüm bilgisayar koruyucu güçlü yapışıyor geri çıkarmak isterken bilgisayara zarar verebilir sonuç ücretsiz geliyorsa bakın deneyin kesinlikle para vermeyin,negative,1,tr
618,bu kadar kalitesiz bir ürün zor bulunur,negative,kalitesiz ürün zor bulunur,negative,1,tr
619,hediye olarak geldi sadece temizleyicisini kullanılır. diğerleri işe yaramaz,negative,hediye geldi sadece temizleyicisini kullanılır işe yaramaz,negative,4,tr
620,çok kötü,negative,kötü,negative,1,tr
621,bilgisayarın yanında hediye gönderdiler. ne işe yarayacağını bilmiyorum ancak bir ürün bu kadar mı amaçsız olur. hediye değil zulüm resmen. ,negative,bilgisayarın yanında hediye gönderdiler işe yarayacağını bilmiyorum ürün amaçsız hediye zulüm resmen,negative,1,tr
622,sadece silme aparatları iyi diğer stikırları kullanamıyorsunuz büyük ve kalıtesız,negative,sadece silme aparatları iyi stikırları kullanamıyorsunuz büyük kalitesiz,negative,1,tr
623,arkadaşlar sakin olaki̇  hali̇hazirdaki̇ bi̇lgi̇sayariniz i̇çi̇n bu ürünü satin almayin hedi̇ye olarak olabi̇li̇r ama di̇ğer şeki̇lde vereceği̇ni̇z paraya yazik olur.,negative,arkadaşlar sakın olaki̇ hali̇hazirdaki̇ bi̇lgi̇sayariniz i̇çi̇n ürünü satın almayı hediye olabi̇li̇r diğer şekilde vereceği̇ni̇z paraya yazık,negative,1,tr
624,bilgisayarım hiç bir cihaz olmadan 2 diş çekiyodu.cihazı bağlayınca en fazla 3 diş oldu.,negative,bilgisayarım cihaz olmadan dış çekiyoducihazı bağlayınca fazla dış,negative,1,tr
625,ürünü alalı yaklaşık 2 ay oldu güzel çalışıyor.çekim kalitesi çok yüksek değil ama kesintisiz ve güzel açık alan 50 mt den.çekiyorum şuan sinyali 3 diş gösterge var hızlıda....,negative,ürünü alalı yaklaşık ay güzel çalışıyorçekim kalitesi yüksek kesintisiz güzel açık alan mt dençekiyorum şu an sinyali dış gösterge hızlıda,negative,3,tr
626,kendi modelinden olan cihazları daha fazla çekıyor dıger cihazları az hız konusu süper dıger özelligide aynı olsaymıs on numara olurmus,negative,modelinden cihazları fazla çekiyor diğer cihazları hız konusu süper diğer özelliğine aynı olsaymış numara olurmuş,negative,2,tr
627,ürün beklentilerimi karşıladı ama elime geç ulaştı yinede teşekürler hepsiburada.com  bu kategoride tavsiye edilebilecek ürünlerden biridir,negative,ürün beklentilerimi karşıladı elime geç ulaştı yine de teşekkürler Hepsiburada'cım kategoride tavsiye edilebilecek ürünlerden biridir,positive,0,tr
628,300 mbps olması bir işe yaramıyor fakat kesinlikle iş görür.,negative,mbps işe yaramıyor kesinlikle iş görür,negative,0,tr
629,"(+)olumlu tarafları:  0.9"" slim design +180derece açılır ekran + korumalı ekran + i5 6.nesil",negative,+ olumlu tarafları slim design + derece açılır ekran + korumalı ekran + ı nesil,negative,3,tr
630,(-) olumsuz tarafları: menteşeleri çok zayıf - ürün plastiği çok kötü ve acayip derece parmak izi bırakıyor - amd işlemcisi hiçbir işe yaramıyor (çok zayıf) ,negative,olumsuz tarafları menteşeleri zayıf ürün plastiği kötü acayip derece parmak izi bırakıyor amd işlemcisi işe yaramıyor zayıf,negative,0,tr
631,sonuç: 2binin üstüne çıktıysanız lütfen amd değil nvidia ekran kartlı bilgisayarlara bakın + mümkünse plastik kasa olmasın... bu bilgisayarı kullandığım için işyerinde şuan tavsiye etmiyorum,negative,sonuç binin üstüne çıktıysanız lütfen amd nvidia ekran kartlı bilgisayarlara bakın + mümkünse plastik kasa olmasın bilgisayarı kullandığım işyerinde şu an tavsiye etmiyorum,negative,4,tr
632,"alacak olanlar dikkat!! üzerinde yüklü işletim sistemi yok, daha sonra windows 7, 8 ya da 10 için ayrıca para ödemek zorunda kalıyorsunuz.",negative,alacak olanlar dikkat üzerinde yüklü işletim sistemi yok windows para ödemek zorunda kalıyorsunuz,negative,0,tr
633,celeron işlemci gerçekten süper hızlı mı? günümüzde yeni nesil işlemcileri göre çok yavaş kalıyor. ama fiyata göre normal. ,negative,celerin işlemci gerçekten süper hızlı günümüzde yeni nesil işlemcileri yavaş kalıyor fiyata normal,negative,1,tr
634,"uzun vadeli kullanım düşünenler 1 e 10 vermek yerine 10 a 1 versinler arıza, performans ve zaman kazancı olur.",negative,uzun vadeli kullanım düşünenler vermek versinler arıza performans zaman kazancı,negative,4,tr
635,dell zamanın en kaliteli pc üreticilerindendir. ancak günümüzde servis desteği ve türkiyede aktif olmaması bu bilgisayar için en büyük dezavantaj. teknik özellikleri güzel ama ekran kartı nvdi̇a nın yanından ile geçemez. 7.nesil i5 işlemci hernekadarda bilgisayara renk katsada bir oyun bilgisayarı olduğunu söyleyemem ama ofis ve internet kullanıcıları için ideal bir laptop. limitiniz varsa biraz daha ekleyerek farklı markalara yönelebilirsiniz ama yok ise hepsiburada.com aracılığı ile bunu alırsanız basit işerlede büyük oranda işinizi görecektir.,negative,dell zamanın kaliteli pc üreticilerindendir günümüzde servis desteği türkiyede aktif olmaması bilgisayar büyük dezavantaj teknik özellikleri güzel ekran kartı nvdi̇a yanından geçemez nesili işlemci hernekadarda bilgisayara renk katsa da oyun bilgisayarı söyleyemem ofis internet kullanıcıları ideal laptop limitiniz varsa ekleyerek farklı markalara yönelebilirsiniz yok Hepsiburada'cım aracılığı alırsanız basit işerlede büyük oranda işinizi görecektir,negative,0,tr
636,"yerli bir ürün olması ile tercih ettim ancak malzeme kalitesi iyi değil, kanal yenileme hızı çok kötü (4 sn)",negative,yerli ürün tercih ettim malzeme kalitesi iyi kanal yenileme hızı kötü sn,negative,1,tr
637,ses kalitesi kötü gerisi güzel,negative,ses kalitesi kötü gerisi güzel,negative,1,tr
638,"ekranı tam karşıdan izlemeniz gerekiyor, aksi halde ekranda sadece karaltı görünüyor. malzeme kalitesi de oldukça düşük.",negative,ekranı karşıdan izlemeniz gerekiyor aksi ekranda sadece karaltı görünüyor malzeme kalitesi oldukça düşük,negative,0,tr
639,arkadaşlar  bende fiyat uygun diye aldım site güvenlik istemide kullanılmak üzere biraz küçük oldu ama güzel. mutfak için güzel tavsiye ederim.,negative,arkadaşlar bende fiyat uygun aldım site güvenlik istemi de kullanılmak küçük güzel mutfak güzel tavsiye ederim,negative,3,tr
640,bu paraya normal görüntü led tvlerden karanlık ve mat pc de denedim tatmin edici değil,negative,paraya normal görüntü led tvlerden karanlık mat pc denedim tatmin edici,negative,1,tr
641,"ürün çok hafif kolay kullanımlı tv olarak işinizi görür. pc monitör yapmak için aldım hdmı kablo ile bağladım görüntü çok kötü vga ile bağladım ondada görüntü çok kötü , fakat hd uydu alıcısı ile bağlarsanız güzel görüntü alırsınız , ben pc için düşünmüştüm fakat beklentimi karşılamadı. hastaneler bekleme ekranı olarak kullanılanlar gibi bi şey ",negative,ürün hafif kolay kullanımlı tv işinizi görür pc monitör aldım hdmı kablo bağladım görüntü kötü vga bağladım onda da görüntü kötü hd uydu alıcısı bağlarsanız güzel görüntü alırsınız pc düşünmüştüm beklentimi karşılamadı hastaneler bekleme ekranı kullanılanlar bir,negative,1,tr
642,"sesi eski radyo gibi sanki çok boğuk , görüntü canlı ve net",negative,sesi eski radyo boğuk görüntü canlı net,negative,4,tr
643,tv dokunmatik kumanda bulunmuyor.!! kendi kumandası bozulduğunda nasıl açıp kapatacağız acaba. ne dahice ya. bilsem almazdım !!!!,negative,tv dokunmatik kumanda bulunmuyor kumandası bozulduğunda açıp kapatacağız dahice bilsem almazdım,negative,3,tr
644,fiyatına göre fena değil idare eder.,negative,fiyatına fena idare eder,negative,2,tr
645,2016 ince şık tasarim yazilmis alakasi yok..cok kalin ve kaba gorunuyor..duvara astim duvardan cok ayrik..foto ekleyebilsem almayi dusunenlere yol gostermis olurum. ayrica lg an mr600 sihirli kumanda ile uyumlu degil..ikisini birlikte siparis vermistim kumandayi iade ettim..şık zarif hoş gorunen bir tv istiyorsaniz bu tv den uzak durun..,negative,ince şık tasarım yazılmış alakası yok çok kalın kaba görünüyorduvara astım duvardan çok ayrıkfoto ekleyebilsem almayı düşünenlere yol göstermiş olurum ayrıca lg an mr sihirli kumanda uyumlu değilicisini birlikte sipariş vermiştim kumandayı iade ettimsik zarif hoş görünen tv istiyorsanız tv den uzak durun,negative,3,tr
646,yıllardır tv takip ediyorum.o kadar lg tv aldım bu modeli hiç beğenmedim her şeyi güzel.renk tonları canlı değil solgun alt yazıları titretiyor.kırmızı renkleri turuncu ile sarımtırak gösteriyor .,negative,yıllardır tv takip ediyorum lg tv aldım modeli beğenmedim güzelrenk tonları canlı solgun alt yazıları titretiyorkırmızı renkleri turuncu sarımtırak gösteriyor,negative,0,tr
647,hiç bi özelliği yok kanal geçişleri çok yavaş,negative,bir özelliği yok kanal geçişleri yavaş,negative,0,tr
648,hiç memnun olmadım çok düşük kalite,negative,memnun olmadım düşük kalite,negative,0,tr
649,üründe servis kurulumu ücretli model çok kötü,negative,üründe servis kurulumu ücretli model kötü,negative,3,tr
650,televizyon fiyatları ortada. bu fiyata da alabileceğiniz iyi bir televizyon. arka kısmının led tv ye gore kalın olduğunu düşünüyorum. plastik kalitesi çok tatmin edici değil. hd dahili uydu alıcı olması seçim sebebidir.,negative,televizyon fiyatları ortada fiyata alabileceğiniz iyi televizyon arka kısmının led tv göre kalın düşünüyorum plastik kalitesi tatmin edici hd dahili uydu alıcı seçim sebebidir,negative,4,tr
651,"2 farklı kusur mevcut. i̇lki, televizyon fişe takılı konumdayken kendisi kapanıp tekrar açılıyor ve ikincisi, kumanda ile ilk açılması yapılamıyor, ilk açılması için fişi çıkarıp takmak gerekiyor.elimizede geç ulaştı memnun kalmadık geri iade etmek istiyoruz.",negative,farklı kusur mevcut ilki televizyon fişe takılı konumdayken kapanıp tekrar açılıyor ikincisi kumanda ilk açılması yapılamıyor ilk açılması fişi çıkarıp takmak gerekiyorelimizede geç ulaştı memnun kalmadık geri iade etmek istiyoruz,negative,1,tr
652,"ben bu markanın ürünlerini eve bile sokmam,fakat bu ürün bir puan karşılığı alındı...fena değil şimdilik...görüntü çok iyi.kumanda kapağına vida yapılmış,yani kapak kayboldu derdi yok.dahili uydu alıcıların ortak özelliği olan kanal geçiş yavaşlığı bunda da var...",negative,markanın ürünlerini eve sokmamfakat ürün puan karşılığı alındıfena şimdilikgörüntü iyikumanda kapağına vida yapılmışyani kapak kayboldu derdi yokdahili uydu alıcıların ortak özelliği kanal geçiş yavaşlığı,negative,4,tr
653,tv yeni geldi benim uydu yumatu uydu nun kumandası tv da çalıştırıyor çakışma oldu görüntü idare eder ses tiz geliyor kumanda yüzünden biraz pişman oldum diğer arkadaşlarda aynı sorun var mı bilmiyorum ,negative,tv yeni geldi uydu yumatu uydu kumandası tv çalıştırıyor çakışma görüntü idare eder ses tiz geliyor kumanda yüzünden pişman oldum arkadaşlarda aynı sorun bilmiyorum,negative,4,tr
654,inşallah bozulup yarı yolda bırakmaz bizi bir de duvara asmak için arkada 2 delik var nasıl asılacak onu da anlamadım ,negative,inşallah bozulup yarı yolda bırakmaz duvara asmak arkada delik asılacak anlamadım,positive,3,tr
655,kötü görüntü kalitesi,negative,kötü görüntü kalitesi,negative,1,tr
656,normal tv işte.,negative,normal tv,positive,4,ko
657,arkadaşlar eğer tüplüden geçiş yapacaksanız iyi bir tekevizyon fakat kalite olarak daha iyi bir tekevizyona sahipsrniz hiç tavsiye etmiyorum tam bir hayal kırıklığı oluyor. ürün hızlı ve zararsız bir şekilde geldi. teşekkürler. ,negative,arkadaşlar tüplüden geçiş yapacaksanız iyi televizyon kalite iyi televizyona sahipseniz tavsiye etmiyorum hayal kırıklığı ürün hızlı zararsız geldi teşekkürler,negative,0,tr
658,tv olarak cok kullanışlı olan bu ürünü pc için monitör amacı ile kullanmayı dusunmeyin maalesef yetersiz,negative,tv çok kullanışlı ürünü pc monitör amacı kullanmayı düşünmeyin maalesef yetersiz,negative,1,tr
659,"aldıktan sadece 3 gün sonra bozulan bir tv.şu anda hala serviste,parça siparişi vermişler parça değişecekmiş.yeni televizyon bu,hatalı yapılmış demek ki.sinir bozucu bir durum,tavsiye etmiyorum.",negative,aldıktan sadece gün bozulan tuşu anda servisteparça siparişi vermişler parça değişecekmişyeni televizyon budatalı yapılmış demek kısınır bozucu durumtavsiye etmiyorum,negative,1,tr
660,6470 serisi full hd vardı bunu aldım eski tv çok daha iyi çaprazdan görüntü ve renk kaybı var iade bekliyoruz,negative,serisi full hd aldım eski tv iyi çaprazdan görüntü renk kaybı iade bekliyoruz,negative,0,tr
661,kesinlikle tavsiye etmiyorum.kurulum ücreti alıyorlar.bu rakama çok iyi tv.alabilirsiniz.,negative,kesinlikle tavsiye etmiyorümkürülüm ücreti alıyorlarbu rakama iyi tvalabilirsiniz,negative,0,tr
